Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2021",,,,
"Year of manufacture, Vehicle type and Vehicle Level",,,,
Counting: Vehicle Level,,,,
,,,,
Year of manufacture,Vehicle type,Counting,Count,Annotations
1984,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),440,
1984,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),3278,
1984,Prime Movers,Vehicle Level (#),419,
1984,Buses > 9 seats,Vehicle Level (#),178,
1984,Tow Trucks,Vehicle Level (#),36,
1984,Fire Appliances,Vehicle Level (#),38,
1984,Trucks with Machinery Mounted,Vehicle Level (#),24,
1984,Other Non Freight Carrying Trucks,Vehicle Level (#),8,
1985,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),648,
1985,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),5178,
1985,Prime Movers,Vehicle Level (#),630,
1985,Buses > 9 seats,Vehicle Level (#),210,
1985,Tow Trucks,Vehicle Level (#),38,
1985,Fire Appliances,Vehicle Level (#),73,
1985,Trucks with Machinery Mounted,Vehicle Level (#),47,
1985,Other Non Freight Carrying Trucks,Vehicle Level (#),8,
1986,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),565,
1986,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),3836,
1986,Prime Movers,Vehicle Level (#),531,
1986,Buses > 9 seats,Vehicle Level (#),197,
1986,Tow Trucks,Vehicle Level (#),43,
1986,Fire Appliances,Vehicle Level (#),58,
1986,Trucks with Machinery Mounted,Vehicle Level (#),44,
1986,Other Non Freight Carrying Trucks,Vehicle Level (#),10,
1987,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),590,
1987,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),3471,
1987,Prime Movers,Vehicle Level (#),463,
1987,Buses > 9 seats,Vehicle Level (#),227,
1987,Tow Trucks,Vehicle Level (#),41,
1987,Fire Appliances,Vehicle Level (#),79,
1987,Trucks with Machinery Mounted,Vehicle Level (#),59,
1987,Other Non Freight Carrying Trucks,Vehicle Level (#),10,
1988,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),1105,
1988,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),5100,
1988,Prime Movers,Vehicle Level (#),791,
1988,Buses > 9 seats,Vehicle Level (#),322,
1988,Tow Trucks,Vehicle Level (#),68,
1988,Fire Appliances,Vehicle Level (#),69,
1988,Trucks with Machinery Mounted,Vehicle Level (#),89,
1988,Other Non Freight Carrying Trucks,Vehicle Level (#),5,
1989,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),1110,
1989,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),5525,
1989,Prime Movers,Vehicle Level (#),835,
1989,Buses > 9 seats,Vehicle Level (#),473,
1989,Tow Trucks,Vehicle Level (#),69,
1989,Fire Appliances,Vehicle Level (#),85,
1989,Trucks with Machinery Mounted,Vehicle Level (#),57,
1989,Other Non Freight Carrying Trucks,Vehicle Level (#),14,
1990,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),1099,
1990,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),5003,
1990,Prime Movers,Vehicle Level (#),696,
1990,Buses > 9 seats,Vehicle Level (#),600,
1990,Tow Trucks,Vehicle Level (#),53,
1990,Fire Appliances,Vehicle Level (#),103,
1990,Trucks with Machinery Mounted,Vehicle Level (#),67,
1990,Other Non Freight Carrying Trucks,Vehicle Level (#),19,
1991,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),811,
1991,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),3319,
1991,Prime Movers,Vehicle Level (#),316,
1991,Buses > 9 seats,Vehicle Level (#),687,
1991,Tow Trucks,Vehicle Level (#),28,
1991,Fire Appliances,Vehicle Level (#),139,
1991,Trucks with Machinery Mounted,Vehicle Level (#),47,
1991,Other Non Freight Carrying Trucks,Vehicle Level (#),8,
1992,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),1061,
1992,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),4080,
1992,Prime Movers,Vehicle Level (#),463,
1992,Buses > 9 seats,Vehicle Level (#),898,
1992,Tow Trucks,Vehicle Level (#),58,
1992,Fire Appliances,Vehicle Level (#),159,
1992,Trucks with Machinery Mounted,Vehicle Level (#),69,
1992,Other Non Freight Carrying Trucks,Vehicle Level (#),13,
1993,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),1055,
1993,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),4178,
1993,Prime Movers,Vehicle Level (#),899,
1993,Buses > 9 seats,Vehicle Level (#),887,
1993,Tow Trucks,Vehicle Level (#),41,
1993,Fire Appliances,Vehicle Level (#),104,
1993,Trucks with Machinery Mounted,Vehicle Level (#),43,
1993,Other Non Freight Carrying Trucks,Vehicle Level (#),24,
1994,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),1323,
1994,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),5617,
1994,Prime Movers,Vehicle Level (#),1410,
1994,Buses > 9 seats,Vehicle Level (#),1224,
1994,Tow Trucks,Vehicle Level (#),61,
1994,Fire Appliances,Vehicle Level (#),129,
1994,Trucks with Machinery Mounted,Vehicle Level (#),87,
1994,Other Non Freight Carrying Trucks,Vehicle Level (#),11,
1995,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),1423,
1995,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),5062,
1995,Prime Movers,Vehicle Level (#),1381,
1995,Buses > 9 seats,Vehicle Level (#),1283,
1995,Tow Trucks,Vehicle Level (#),67,
1995,Fire Appliances,Vehicle Level (#),146,
1995,Trucks with Machinery Mounted,Vehicle Level (#),98,
1995,Other Non Freight Carrying Trucks,Vehicle Level (#),19,
1996,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),1388,
1996,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),4864,
1996,Prime Movers,Vehicle Level (#),1240,
1996,Buses > 9 seats,Vehicle Level (#),1275,
1996,Tow Trucks,Vehicle Level (#),72,
1996,Fire Appliances,Vehicle Level (#),140,
1996,Trucks with Machinery Mounted,Vehicle Level (#),108,
1996,Other Non Freight Carrying Trucks,Vehicle Level (#),13,
1997,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),1573,
1997,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),5702,
1997,Prime Movers,Vehicle Level (#),1515,
1997,Buses > 9 seats,Vehicle Level (#),1503,
1997,Tow Trucks,Vehicle Level (#),70,
1997,Fire Appliances,Vehicle Level (#),126,
1997,Trucks with Machinery Mounted,Vehicle Level (#),84,
1997,Other Non Freight Carrying Trucks,Vehicle Level (#),9,
1998,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),2199,
1998,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),7138,
1998,Prime Movers,Vehicle Level (#),1964,
1998,Buses > 9 seats,Vehicle Level (#),1891,
1998,Tow Trucks,Vehicle Level (#),86,
1998,Fire Appliances,Vehicle Level (#),86,
1998,Trucks with Machinery Mounted,Vehicle Level (#),86,
1998,Other Non Freight Carrying Trucks,Vehicle Level (#),14,
