Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2015",,,,
"Year of Manufacture, Vehicle type and Vehicles",,,,
Counting: Vehicles,,,,
,,,,
Year of Manufacture,Vehicle type,Counting,Count,Annotations
1980,Trucks with Machinery Mounted,Vehicles (#),69,
1980,Other Non Freight Carrying Trucks,Vehicles (#),7,
1981,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),527,
1981,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),3931,
1981,Prime Movers,Vehicles (#),581,
1981,Buses > 9 seats,Vehicles (#),139,
1981,Tow Trucks,Vehicles (#),83,
1981,Fire Appliances,Vehicles (#),34,
1981,Trucks with Machinery Mounted,Vehicles (#),67,
1981,Other Non Freight Carrying Trucks,Vehicles (#),3,
1982,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),540,
1982,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),3605,
1982,Prime Movers,Vehicles (#),454,
1982,Buses > 9 seats,Vehicles (#),171,
1982,Tow Trucks,Vehicles (#),66,
1982,Fire Appliances,Vehicles (#),36,
1982,Trucks with Machinery Mounted,Vehicles (#),43,
1982,Other Non Freight Carrying Trucks,Vehicles (#),12,
1983,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),415,
1983,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),3113,
1983,Prime Movers,Vehicles (#),317,
1983,Buses > 9 seats,Vehicles (#),226,
1983,Tow Trucks,Vehicles (#),51,
1983,Fire Appliances,Vehicles (#),62,
1983,Trucks with Machinery Mounted,Vehicles (#),47,
1983,Other Non Freight Carrying Trucks,Vehicles (#),3,
1984,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),801,
1984,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),5360,
1984,Prime Movers,Vehicles (#),678,
1984,Buses > 9 seats,Vehicles (#),365,
1984,Tow Trucks,Vehicles (#),70,
1984,Fire Appliances,Vehicles (#),72,
1984,Trucks with Machinery Mounted,Vehicles (#),46,
1984,Other Non Freight Carrying Trucks,Vehicles (#),9,
1985,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),1281,
1985,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),8084,
1985,Prime Movers,Vehicles (#),1035,
1985,Buses > 9 seats,Vehicles (#),534,
1985,Tow Trucks,Vehicles (#),77,
1985,Fire Appliances,Vehicles (#),111,
1985,Trucks with Machinery Mounted,Vehicles (#),102,
1985,Other Non Freight Carrying Trucks,Vehicles (#),16,
1986,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),1056,
1986,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),5914,
1986,Prime Movers,Vehicles (#),810,
1986,Buses > 9 seats,Vehicles (#),597,
1986,Tow Trucks,Vehicles (#),69,
1986,Fire Appliances,Vehicles (#),107,
1986,Trucks with Machinery Mounted,Vehicles (#),73,
1986,Other Non Freight Carrying Trucks,Vehicles (#),13,
1987,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),1100,
1987,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),5136,
1987,Prime Movers,Vehicles (#),724,
1987,Buses > 9 seats,Vehicles (#),679,
1987,Tow Trucks,Vehicles (#),67,
1987,Fire Appliances,Vehicles (#),151,
1987,Trucks with Machinery Mounted,Vehicles (#),83,
1987,Other Non Freight Carrying Trucks,Vehicles (#),4,
1988,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),2003,
1988,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),7535,
1988,Prime Movers,Vehicles (#),1130,
1988,Buses > 9 seats,Vehicles (#),891,
1988,Tow Trucks,Vehicles (#),98,
1988,Fire Appliances,Vehicles (#),146,
1988,Trucks with Machinery Mounted,Vehicles (#),141,
1988,Other Non Freight Carrying Trucks,Vehicles (#),10,
1989,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),2126,
1989,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),7944,
1989,Prime Movers,Vehicles (#),1215,
